Airbnb_ListingID,City,Neighbourhood,Lat,Lng,RoomType_Clean,RoomAndPropertyType,PersonCapacity,Bathrooms,Bedrooms,Beds,BasicNightPrice,StarRating,LocationRating,CleanlinessRating,ValueRating,AccuracyRating,CheckinRating,CommunicationRating,ReviewCount,AvailableMoreThan30Days,PriceCategory,RatingBand,PropertySize,AvailabilityStatus
1.33966E+18,Pimpri-Chinchwad,Blue Ridge Town,18.5795,73.7348,Entire Home,Entire apartment,4,1,1,1,2520,4.89,4.46,4.86,4.71,4.82,4.89,4.96,28,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.3397E+18,Pune,Unknown,18.5971,73.9019,Private Room,Private room in bungalow,4,1,2,2,4209,4.77,4.82,4.82,4.73,4.68,4.86,4.91,22,1,Premium,4.75-5.0,Medium,Available >30 Days
1.3412E+18,Pimpri-Chinchwad,Unknown,18.62440047,73.73340005,Private Room,Private room in apartment,2,0,1,1,1520,5,4.9,4.9,5,5,5,5,10,1,Budget,4.75-5.0,Small,Available >30 Days
1.34414E+18,Pune,Unknown,18.5619,73.7756,Private Room,Private room in bed and breakfast,2,1,1,1,1908,4.56,4.72,4.56,4.4,4.44,4.72,4.68,25,1,Budget,4.5-4.75,Small,Available >30 Days
1.3519E+18,Pune,Unknown,18.57533,73.89237,Private Room,Private room in apartment,1,1,1,1,1577,4.77,4.77,4.97,4.7,4.63,4.83,4.93,30,1,Budget,4.75-5.0,Small,Available >30 Days
1.352E+18,Pune,Balewadi High Street,18.56783912,73.7755201,Entire Home,Entire rental unit,2,2,2,2,3952,4.8,4.76,4.88,4.64,4.92,4.96,4.92,25,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.48304E+18,Pune,Unknown,18.54860254,73.9479986,Hotel,Room in hotel,2,1,1,1,2639,3.5,4,3,3,3.5,4,4.5,2,1,Mid-Range,3.0-4.0,Small,Available >30 Days
1.48306E+18,Pune,Unknown,18.58,73.8946,Hotel,Room in hotel,2,1,1,1,2409,4.58,4.33,4.5,4.75,4.67,4.75,4.58,12,1,Mid-Range,4.5-4.75,Small,Available >30 Days
1.48326E+18,Pune,Unknown,18.56572,73.78604,Entire Home,Entire rental unit,6,3,3,3,5975,5,5,4.75,4.75,5,5,5,4,1,Premium,4.75-5.0,Large,Available >30 Days
1.48519E+18,Pune,Unknown,18.4834,73.8825,Entire Home,Entire villa,4,1,1,1,4329,5,4.86,4.96,4.82,4.96,4.93,5,28,1,Premium,4.75-5.0,Medium,Available >30 Days
